@relation mdb

@attribute RMean numeric
@attribute GMean numeric
@attribute BMean numeric
@attribute Rstd numeric
@attribute Gstd numeric
@attribute Bstd numeric
@attribute Xsymmetry numeric
@attribute Ysymmetry numeric
@attribute HCR numeric
@attribute Roundness numeric
@attribute minEnclosingCircle numeric
@attribute Irregularity numeric
@attribute Classification {M,N}

@data
70.6,50.4,45.8,19.6,13.6,12.8,0.57,0.62,0.91,0.67,0.49,2.8,M
44.4,32.3,31.8,23.9,11.9,8.8,0.24,0.2,0.94,0.84,0.22,3.03,M
34.8,27.7,30.1,13.8,8.4,7.5,0.18,0.24,0.92,0.78,0.2,3.2,M
41.4,37.5,40.8,22.4,17.5,16.9,0.3,0.19,0.88,0.7,0.3,3.13,M
114.7,69,60.7,31.6,23.5,22.2,0.4,0.46,0.81,0.57,0.31,3.4,M
53.8,47.3,49.9,28.2,25,24,0.38,0.28,0.73,0.44,0.4,3.6,M
33.5,31.8,36.4,15.9,13.4,13.6,0.35,0.21,0.89,0.71,0.3,3.1,M
102.2,70.1,72.3,35.9,28.2,28.04,0.58,0.41,0.85,0.61,0.42,3.1,M
62.3,39.2,28.9,12.9,10.7,10.3,0.34,0.55,0.91,0.68,0.4,2.96,M
125.7,73,63.4,14.8,20.6,18.6,0.31,0.31,0.95,0.82,0.37,2.8,M
114.7,70.5,76.5,11.55,10.1,9,0.33,0.55,0.86,0.64,0.31,3.3,M
101.9,65.9,48.8,15.4,12.6,12,0.38,0.74,0.9,0.9,0.7,3,M
100.2,55.7,41.6,15.7,16,14.3,0.29,0.65,0.89,0.66,0.48,2.8,M
87.9,57.4,48.9,25.6,15.6,13.6,0.57,0.71,0.81,0.47,0.54,3.12,M
80.6,60.3,52.6,19.5,15.5,13.2,0.3,0.34,0.93,0.62,0.61,2.5,M
81.5,49.6,40.5,28.9,18.3,16.5,0.91,0.85,0.85,0.51,0.87,3.04,M
134.9,81,73,19.7,18.3,18.9,0.89,0.91,0.79,0.5,0.36,3.55,M
72.8,62.4,64.1,19,13,14.1,0.48,0.43,0.94,0.8,0.34,2.9,M
62.5,56.6,56.5,22.9,20.1,21.9,0.73,0.39,0.93,0.77,0.31,2.96,M
164.6,127.9,110,12.7,15.7,17.2,0.39,0.36,0.77,0.48,0.38,3.6,M
166.9,115.6,99.8,13.9,17,18,0.34,0.34,0.79,0.51,0.35,3.6,M
92.7,59.7,53.7,17.4,16.6,17.3,0.79,1.8,0.72,0.3,0.64,3.4,M
94.6,91.3,78.1,17.8,11.3,11,0.45,0.42,0.71,0.39,0.42,3.8,M
46.7,39.8,37.1,20,19.1,19,0.22,0.43,0.94,0.82,0.21,3.1,M
67.3,50.8,50.1,18.9,11.5,10.4,0.53,0.55,0.95,0.83,0.27,2.9,M
